text,,Label
حیدرآباد سکہر موٹروے کرپشن کیس گہر سے مزید 30 کروڑ روپے برآمد,,Biased
جعلی حکمرانوں کی ترجیح امن کا قیام نہیں صرف سیاسی انتقام پرویزالٰہی,,Biased
دہشتگردوں سے کب تک ڈر ینگے مذاکرات کیوں کئے جا رہے ہیں ریاست کہاں ہے؟ جسٹس قاضی فائز عیسیٰ,,Biased
ایف آئی اے نے مختلف وزارتوں میں مبینہ کرپشن کی تحقیقات شرو ع کر دیں,,Biased
زرداری پر سنگین الزامات شیخ رشید کا 2روزہ جسمانی ریمانڈ منظور پولیس کے حوالے,,Biased
ٹیکساس میں برفانی طوفان سے تباہی 6افراد ہلاک لاکہوں شہری بجلی سے محروم,,Biased
ن لیگ کیخلاف جعلی مقدمات بنائے گئے ہمیں نہیں بنانے چاہئیں شاہد خاقان,,Biased
عمران خان کی نااہلی کے خواب دیکہنے والے ناکام ہوں گے ایاز عمران,,Biased
شہباز شریف امن کی تباہی کے ذمہ دار سیاسی مخالفین کو ٹارگٹ کیا جا رہا ہے پرویز الٰہی,,Biased
خوفناک مہنگائی معیشت کی کمر توڑ دے گی ملک نعیم,,Biased
کاروبار دشمن پالیسیاں بزنس کمیونٹی کیلئے خطرناک ہیں خالد محمود شہباز اسلم,,Biased
آصف زرداری پر قتل کی سازش کا الزام شیخ رشید کی درخواست ضمانت بعد از گرفتاری مسترد,,Biased
سہیل ظفر چٹہہ کی ڈی جی اینٹی کرپشن پنجاب تعیناتی کافیصلہ,,Biased
43پی ٹی آئی اراکین کی نشستیں بحال ہونے کا پروپیگنڈا جہوٹا ثابت ہو گیا سپیکر آفس,,Biased
امجد اسلام امجد کے انتقال سے اردو ادب کا ایک عظیم دور ختم ہوگیا وزیراعظم,,Biased
ایمنڈ کی ایگزیکٹو کمیٹی کا اجلاس صحافیوں کے خلاف غداری مقدمات کی مذمت,,Biased
قوم الیکشن کی تیاری کرے نااہل ٹولے کیخلاف فیصلہ دینا ہے پرویز الٰہی,,Biased
حکمرانوں کی غفلت سے لاہور بدترین مسائل کا شکار ہے خالد احمد بٹ,,Biased
میں غدار ہوں تو میرے سارے ووٹرز بہی غدار ہیں فواد چودہری,,Biased
سائفر والا معاملہ فراڈ عمران خان کی اصلیت آئے روز بے نقاب ہو رہی ہے مریم اورنگزیب,,Biased
شکرگڑہ میں تاریخی ریلی عمران خان پر اعتماد کا ثبوت طاہر علی جاوید,,Biased
لاہور پ ر سابق صوبائی وزیر صحت اور پی ٹی آئی کے مرکزی راہنما ڈاکٹر طاہر علی جاوید نے شکرگڑہ میں تاریخی عوامی ریلی سے خطاب کرتے ہوئے کہا کہ اس عوامی سمندر نے عمران خان کے بیانیہ پر عوامی مہر ثبت کر دی یہ شکرگڑہ میں عوامی ریفرنڈم تہا اسوقت پاکستان میں مہنگائی اپنے عروج پر ہے کاروبار تباہ ہو رہا ہے اور عوام سے دو وقت کی روٹی چہین لی گئی ہے,,Biased
صرف عمران خان ہی پاکستان کی ڈوبتی ہوئی معیشت کو سنبہال سکتا ہے ڈاکٹر طاہر جاوید نے کہا کہ عمران خان نے عوام کی خاطر دو صوبوں میں اپنی حکومتوں کو قربان کیا فوری الیکشن ہی پاکستان کے مسائل کا واحد حل ہیں,,Biased
لاہور سٹی رپورٹر چیئرمین فریا خالد محمود کہوکہر اور سینئر وائس چیئرمین فریا شہباز اسلم نے کہا ہے کہ ملکی معاشی استحکام کیلئے سب سے پہلے میثاق معیشت کی ضرورت ہے اس کے بعد میثاق سیاست پر توجہ دی جائے ملک میں بڑہتے معاشی بحران کا سدباب فی الفور نہ کیا گیا تو حالات مزید سنگین تر ہوجائیں گے,,Biased
لاہور نامہ نگار خصوصی شہباز گل نے میڈیا سے گفتگو کرتے ہوئے کہا ہے کہ ہم آئین کی خلاف ورزی کے راستے پر نکل پڑے ہیں عدالتی فیصلوں کا مذاق بنایا جا رہا ہے آج لوگ مشرف کی فاتحہ اس لیے نہیں پڑہ رہے وہ آئین شکن تہا وہی لوگ خود بہی آئین شکنی کر رہے ہیں یہاں نظریے کی جنگ نہیں ہے منافقت کی جنگ ہے,,Biased
روپے کی قدر میں گراوٹ سے مہنگائی بڑہنے کا خدشہ فچ کی رپورٹ,,Unbiased
سینٹرل ورکنگ کمیٹی کی کارروائی غیر قانونی شجاعت ق لیگ کے صدر برقرار الیکشن کمیشن,,Unbiased
عمران خان 22کروڑ پاکستانیوں کے دل کی دہڑکن ہیں عباد فاروق,,Unbiased
محکمہ صحت کا میڈیکل ٹیمیں پشاور روانہ کرنے کا فیصلہ,,Unbiased
سنٹرل بزنس ڈسٹرکٹ منصوبہ سے عوام کو ریلیف ملے گا بلال افضل,,Unbiased
اعظم کلاتہ مارکیٹ کے تاجروں کا اجلاس بم دہماکہ کے شہداء کیلئے فاتحہ خوانی,,Unbiased
نظریاتی اہلسنت19فروری کو قوت و اتحاد کا مظاہرہ کرینگے اشرفجلالی,,Unbiased
جماعت اسلامی کالبرٹی تاپنجاب اسمبلی تک یکجہتی کشمیر ریلی نکالنے کا اعلان,,Unbiased
روزنامہ پاکستان کے انور کہرل کی ہمشیرہ ندیم مسیح کے والد کا انتقال,,Unbiased
جامعہ مسجد نورو مدرسہ فیضان رضا کی سویڈن کی گستاخی کیخلافریلی,,Unbiased
پرویز الٰہی کی رہائشگاہ پر چہاپے کیخلاف لیگی خواتین رہنماؤں کا احتجاج,,Unbiased
عمران خان تم ہی ملک میں دہشتگردی کے سہولت کار ہو مریم اورنگزیب,,Unbiased
سربراہ عوامی مسلم لیگ اور سابق وزیر داخلہ شیخ رشید کو گرفتار کر لیا گیا,,Unbiased
ہمارے دور میں دہشتگردی کیوں نہیں ہوئی؟ عمران خان,,Unbiased
گورنر خیبرپختونخوا نے عام انتخابات کی کوئی تاریخ نہیں دی الیکشن کمیشن,,Unbiased
چودہری شجاعت کا پرویز الٰہی کو کو ق لیگ پنجاب کی صدارت سے ہٹانے کا اصولی فیصلہ,,Unbiased
پنجاب کی نگران حکومت کا سرکاری ہسپتالوں میں مفت ادویات کی فراہمی کا فیصلہ,,Unbiased
وزیر خزانہ سے اماراتی سفیر کی ملاقات اقتصادی تعلقات کے فروغ پر بات چیت,,Unbiased
وزیراعظم آج کراچی کا ایک روزہ دورہ نیوکلیئر پاورپلانٹ کا افتتاح کرینگے,,Unbiased
پنجاب اسمبلی گورنر کے آرڈر سے تحلیل نہیں ہوئی آرٹیکل 105کا اطلاق نہیں ہوتا بلیغ الرحمن,,Unbiased
ممنوعہ فنڈنگ کیس میں ای سی پی کے فیصلے کیخلاف اپیل عدالت آج فیصلہ سنائے گی,,Unbiased
ملک میں مہنگائی 27.6فیصد ریکارڈ ایک ماہ کے دوران شرح میں 2.9فیصد اضافہ ہوا ادارہ شماریات,,Unbiased
سپریم کورٹ نے نیب ترامیم کے باعث ختم ہونیوالے کیسز کا ریکارڈ طلب کر لیا,,Unbiased
حکوت نے بجلی مزید مہنگی کرنے کا فیصلہ کر لیا نظر ثانی شدہ سرکلر ڈیٹ مینجمنٹ پلا ن آئی ایم ایف کے حوالے,,Unbiased
