text,llm,Label
اسلام آباد انقرہ آئی این پی وزیراعظم شہباز شریف زلزلہ زدگان سے اظہار یکجہتی کے لیے ترکیہ پہنچ گئے ایوی ایشن ذرائع کے مطابق وزیراعظم شہباز شریف کے خصوصی طیارے نے ترکیہ کے انقرہ ائیرپورٹ پر لینڈ کیا,,Biased
انہوں نے کہا کہ چیف جسٹس آف پاکستان سے اپیل کرتے ہیں کہ وہ اس معاملے کا نوٹس لیں وزیر داخلہ نے کہاکہ میں نے ایف آئی اے کو یہ ٹاسک سونپا ہے کہ وہ اس بات کا جائزہ لیں اور وزارت قانون سے رائے لیکر چوہدری پرویز الٰہی کے خلاف مقدمہ درج کر کے گرفتار کیا جائے اس آڈیو کی فورنزک سب سے پہلے ہونی چاہیے دوسرے صاحب کے بارے میں بہی معلوم ہو جائیگا,,Biased
وزیر داخلہ رانا ثنا اللہ خان نے کہا کہ عدالت عالیہ کے فیصلے کے بعد عمران خان کی گرفتاری لازمی ہوچکی ہے تفتیشی ٹیم کو اس بارے میں قانون کے مطابق معاملات کو آگے بڑہانا چاہیے انہوں نے کہا کہ یہ کوئی طریقہ کار ہے کس طرح سے ملک میں نظام کا مذاق اڑایا جارہا ہے یہ انتہائی تشویشناک ہے,,Biased
انہوں نے کہا کہ یہ لوگ عدلیہ کی توہین بہی کرتے ہیں وزیر داخلہ رانا ثنا اللہ خان نے کہا کہ ماضی میں بہی ایک آڈیو لیک ہوئی تہی جس میں لاہور ہائیکورٹ کے دو جج صاحبان کا ذکر تہا انہوں نے فور ی طور پر خود کو اس بیچ سے الگ کر دیا ہے امید ہے کہ اب بہی جن کا ذکر آیا ہے وہ ایسا کریں گے,,Biased
انہوں نے کہا کہ لیک آڈیو کی فورنزک کرائی جائیگی رپورٹ میں تصدیق ہو جاتی ہے کہ آواز اسی شخص کی ہے جس کے بارے میں تاثر ہے انہوں نے کہا کہ شوکت ترین کے خلاف مقدمہ درج ہے شامل تفتیش ہوں گے تو ان کی آواز کی تصدیق کی جائیگی اگر ثابت ہو جاتا ہے تو ان کے ساتہ کوئی ہمدردی نہیں ہوسکتی,,Biased
ایک سوال کے جواب میں انہوں نے کہا کہ اسلام آباد میں پولیس مقابلے میں دو افراد کی ہلاکت کے معاملے کی جوڈیشل انکوائری ہو گی اور حقائق سامنے آجائیں گے انہوں نے کہا کہ جب کسی شخص کیخلاف ایف آئی ار درج ہو اور ضمانت بہی خارج ہو تو اسکی گرفتاری ہی بنتی ہے,,Biased
وزیر داخلہ رانا ثنااللہ کی پریس کانفرنس پر ردعمل دیتے ہوئے انہوں نے کہا کہ محمد خان بہٹی 10 دن سے لاپتہ ہیں ان کی اہلیہ نے سپریم کورٹ میں اپیل کی ہے آخر وہ کیس بہی سامنے آنا ہے انہوں نے کہا کہ ن لیگ کی قیادت عدلیہ کے خلاف منظم مہم چلا رہی ہے ہم نے ہمیشہ عدلیہ کا احترام کیا عدلیہ ہی اس وقت عوام کی امیدوں کا مرکز ہے,,Biased
سابق وزیراعلی پنجاب نے کہا کہ رانا ثنا اللہ بوکہلائے ہوئے اٹہے ہیں اور بولنا شروع کر دیا ہے یہ سانحہ ماڈل ٹان کے کیس میں ہی کیفر کردار تک پہنچیں گے انہوں نے کہا کہ اس نااہل حکومت کی تمام غلط کاریوں کی چیزیں سامنے آ کر رہیں گی رانا ثنا اللہ کے سارے کرتوت باری باری سامنے آ رہے ہیں,,Biased
انہوں نے کہاکہ پاکستان اپنے ہمسائیوں سے اچہے تعلقات کا خواہاں ہے پاکستان کے اپنے ہمسائیوں سے تعلقات باہمی اعتماد پر مبنی ہیں پاکستان اور افغانستان کے درمیان قریبی تاریخی نعلقات ہیں انہوں نے کہاکہ سابق وزیراعظم عمران خان کے دورہ روس کی کہانی ایک ہرانی کہانی ہے اس پت ہمارے سابق ترجمانوں نے تفصیل سے روشنی ڈالی ہے روسی سفیر کے انٹرویو کا نوٹس لیا ہے روسی سفیر کا بیان ان کی ذاتی آراء ہے,,Biased
جسٹس علی باقر نجفی نے کہا کہ عمران خان وہیل چیئر پر عدالت آجائیں تاہم وکیل نے کہا کہ عدالت سے استدعا ہے کہ عمران خان کو طبی بنیادوں پر پیشی کے بغیر ضمانت دی جائے جیسے عدالت کہے گی عمران خان عملدرآمد کرینگے,,Biased
