text,Label
حیدرآباد سکہر موٹروے کرپشن کیس گہر سے مزید 30 کروڑ روپے برآمد,Biased
جعلی حکمرانوں کی ترجیح امن کا قیام نہیں صرف سیاسی انتقام پرویزالٰہی,Biased
دہشتگردوں سے کب تک ڈر ینگے مذاکرات کیوں کئے جا رہے ہیں ریاست کہاں ہے؟ جسٹس قاضی فائز عیسیٰ,Biased
ایف آئی اے نے مختلف وزارتوں میں مبینہ کرپشن کی تحقیقات شرو ع کر دیں,Biased
زرداری پر سنگین الزامات شیخ رشید کا 2روزہ جسمانی ریمانڈ منظور پولیس کے حوالے,Biased
ٹیکساس میں برفانی طوفان سے تباہی 6افراد ہلاک لاکہوں شہری بجلی سے محروم,Biased
ن لیگ کیخلاف جعلی مقدمات بنائے گئے ہمیں نہیں بنانے چاہئیں شاہد خاقان,Biased
عمران خان کی نااہلی کے خواب دیکہنے والے ناکام ہوں گے ایاز عمران,Biased
شہباز شریف امن کی تباہی کے ذمہ دار سیاسی مخالفین کو ٹارگٹ کیا جا رہا ہے پرویز الٰہی,Biased
خوفناک مہنگائی معیشت کی کمر توڑ دے گی ملک نعیم,Biased
کاروبار دشمن پالیسیاں بزنس کمیونٹی کیلئے خطرناک ہیں خالد محمود شہباز اسلم,Biased
آصف زرداری پر قتل کی سازش کا الزام شیخ رشید کی درخواست ضمانت بعد از گرفتاری مسترد,Biased
سہیل ظفر چٹہہ کی ڈی جی اینٹی کرپشن پنجاب تعیناتی کافیصلہ,Biased
43پی ٹی آئی اراکین کی نشستیں بحال ہونے کا پروپیگنڈا جہوٹا ثابت ہو گیا سپیکر آفس,Biased
امجد اسلام امجد کے انتقال سے اردو ادب کا ایک عظیم دور ختم ہوگیا وزیراعظم,Biased
ایمنڈ کی ایگزیکٹو کمیٹی کا اجلاس صحافیوں کے خلاف غداری مقدمات کی مذمت,Biased
قوم الیکشن کی تیاری کرے نااہل ٹولے کیخلاف فیصلہ دینا ہے پرویز الٰہی,Biased
حکمرانوں کی غفلت سے لاہور بدترین مسائل کا شکار ہے خالد احمد بٹ,Biased
میں غدار ہوں تو میرے سارے ووٹرز بہی غدار ہیں فواد چودہری,Biased
سائفر والا معاملہ فراڈ عمران خان کی اصلیت آئے روز بے نقاب ہو رہی ہے مریم اورنگزیب,Biased
شکرگڑہ میں تاریخی ریلی عمران خان پر اعتماد کا ثبوت طاہر علی جاوید,Biased
صرف عمران خان ہی پاکستان کی ڈوبتی ہوئی معیشت کو سنبہال سکتا ہے ڈاکٹر طاہر جاوید نے کہا کہ عمران خان نے عوام کی خاطر دو صوبوں میں اپنی حکومتوں کو قربان کیا فوری الیکشن ہی پاکستان کے مسائل کا واحد حل ہیں,Biased
اسلام آباد آن لائن پاکستا ن اور آئی ایم ایف کے درمیان نویں جائزے کیلئے ورچوئیل مذاکرات ایک روز کیلئے ملتوی ہوگئے ذرائع کے مطابق مذاکرات آئی ایم ایف کی درخواست پر ملتوی کئے گئے,Biased
انہوں نے کہاکہ 86رکنی تاریخی کابینہ کے ساتہ اشرافیہ کی قربانی کہاں؟ شروعات تو حکومت اپنے گہر سے کرے انہوں نے کہاکہ ہر بار قربانی عوام کیوں دیں؟,Biased
چیف الیکشن کمشنر کا بہی کہنا تہا کہ عدالت اجازت دے تو میری جگہ سیکرٹری یا سینیئر افسر کو آج پیش ہوجائیگا جسٹس اعجاز الاحسن نے کہا کہ آپ ادارے کے سربراہ ہیں آپ خود پیش ہوں سکون سے سنیں گے,Biased
ہمیں جیل بہر و تحریک کا انتظار آغاز زمان پارک سے کریں مریم نواز,Unbiased
سپریم کورٹ نے اسلامی نظریاتی کونسل کو تحلیل کرنے کی آئینی درخواست مسترد کردی,Unbiased
ہائیکورٹ نے شیخ رشید کیخلاف مزید کوئی مقدمہ درج کرنے سے روک دیا,Unbiased
ایک ارب ڈالر کے منصوبوں کیلئے الیکشن کمیشن کی پابندی سے استثنا کی درخواست دائر,Unbiased
امریکہ پاکستانی حکومت سے تعلقات بہتر بنائے سینیٹر کوری بوکر,Unbiased
عمران خان پہلے گرفتاری دینے کی تاریخ کا اعلان کریں مریم اورنگزیب,Unbiased
گورنر خیبر پختونخوا کی بلیغ الرحمن سے ملاقات صوبوں کے درمیان رابطے بڑہانے پر اتفاق,Unbiased
سینیٹ پرویز مشرف کیلئے فاتحہ خوانی پر تنازع سینیٹر مشتاق کا دعا کرانے سے انکار,Unbiased
قومی اسمبلی کے ضمنی پنجاب خیبرپختونخوا اسمبلیوں کے عام انتخابات سے متعلق الیکشن کمیشن کا اجلاس آج ہوگا,Unbiased
دوا ساز کمپنیوں کا ایک ہفتے بعد ادویات کی پیداوار بند کرنے کا اعلان,Unbiased
مسلم لیگ ن لاہور کے صدر سیف الملوک کہوکہر کی وزیر اعظم سے ملاقات,Unbiased
وفاقی حکومت کا صحت سہولت کارڈ محدود کرنے کا فیصلہ,Unbiased
سیکرٹری جنرل اقوام متحدہ کا پرویز مشرف کے انتقال پر اظہار تعزیت,Unbiased
بجلی بلوں میں فیول ایڈ جسٹمنٹ چارجز غیر قانونی قرار لاہورہائیکورٹ کے گہریلو صارفین کو 500یونٹس تک سبسڈی دینے کی ہدایت,Unbiased
اے پی سی کی تاریخ مقام تبدیل 9جنوری کو پارلیمنٹ ہاؤس میں ہو گی تحریک انصاف کو دعوت نامہ نہیں ملا فواد خٹک اور اسد قیصر کو دعوت دی ایاز صادق,Unbiased
حکومت کا بین الاقوامی پروازوں میں بزنس کلاس ٹکٹس پرایکسائز ڈیوٹی لگانے پرغور,Unbiased
توشہ خانہ کیس عمران خان نے ضمانتی مچلکے جمع کروادئیے سماعت آج ہوگی,Unbiased
عمران خان جیل بہر و تحریک کا آغاز خود سے کیوں نہیں کرتے حنا پرویز,Unbiased
کریم مہران بلاک سوشل ویلفیئر ایسوسی ایشن کی جنرل کونسل کا اجلاس طلب,Unbiased
پی ٹی آئی رہنماؤں کی گرفتاری انتقامی ہتہکنڈے ہیں عمران شاہ,Unbiased
پاکستان راہ حق پارٹی کا یوم کشمیر کے حوالے سے سیمینار,Unbiased
وزیر اوقاف کے سٹوروں کے دورے آٹے کی دستیابی کا جائزہ لیا,Unbiased
میرے قتل کیلئے جنوبی وزیرستان کے دوافراد کو رقم دی گئی تمام ثبوت موجود عمران خان,Unbiased
اتحادی حکومت کا الیکشن میں تاخیر کیلئے عدالتوں سے رجوع کا فیصلہ,Unbiased
پی ٹی آئی کا قومی اسمبلی کی خصوصی نشستوں پر بہی امیدوار نہ بدلنے کا فیصلہ,Unbiased
